dataSet1‡10000‡code‡col1‡col2‡col3‡col4‡col5‡col6‡col7‡col8‡col10‡date1‡id‡num‡value‡time¶code1‡Kaden Q. Delacruz‡7602111111119‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드1‡1010
code2‡Kaden Q. Delacruz‡7602111111113‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드2‡1010
code3‡Bertha G. Carr‡7602111111113‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드3‡1010
code4‡Bertha G. Carr‡7602111111113‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드4‡1010
code5‡Kaden Q. Delacruz‡7602111111113‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드5‡1010
code6‡Kaden Q. Delacruz‡7602111111113‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드6‡1010
code7‡Kaden Q. Delacruz‡7602111111113‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드7‡1010
code8‡Bertha G. Carr‡7602111111119‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드8‡1010
code9‡Kaden Q. Delacruz‡7602111111113‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드9‡1010
code10‡Bertha G. Carr‡7602111111113‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드10‡1010
code11‡Kaden Q. Delacruz‡7602111111119‡R2‡R1‡R1‡risus a ultricies adipiscing, enim mi tempor lorem, eget mollis‡nulla vulputate dui‡12000‡1011‡2009-08-18‡r1001‡1‡코드11‡1010
